term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
air,Topic_Like, Physical Working Conditions,19.2108766234,3.89577603036e-10,163,539,"Air Conditioning system in our work area has been broken/under performing for a very long time.  It is very hot in Florida, I don't think this situation is healthy I know it does not contribute to productivity.  There is no air circulation","DPOV kitchen needs air conditioning, its one thing to say it's a kitchen and its going to be hot and I get that, but its unbelievably hot and there are days that are so miserably hot and humid I question being there, it  makes me not want to work. There are days when the water pumps to the swamp coolers go out which is every week it seems and it take days to fix, it is unbearable at times. it needs to be fixed.  if anyone doubts what I say I welcome anyone to come join us in July or Augest on a Saturday night and sit on the line for 10 minutes and I'm sure you be convinced.",There are too many issues in the kitchen that need to be resolved including the air condition problem and the proper cooling of the refrigerators. The right people need to be hired to get the job done properly.,702
physical,Topic_Like, Physical Working Conditions,14.2577108434,1.93274806373e-07,173,94,"Recent studies, shows that loner hours of sitting is harmful to health. Why don't we consider adjustable workstations, which can be used standing. Positive, ambience in the workrooms are critical to enhance the pleasant mood and creativity. Studies, shows, poorly ventilated rooms cause sick building syndrome, which cause allergy like reactions to human system. Natural light, fresh air, view to outdoors, fresh plants, right space around the workstation, ergonomic workstations / shelves, all carry significant bearing on the working mood  / productivity of a team member.   I strongly urge, Hilton Corporate team, responsible for the well being aspects of Team members to look into survey, the physical work environments in offices, and set standards including positive health aspects.",I feel have physical training room to help staff stay in shape it would save the company on medical with the some the issues staff has.,I will like the physical working conditions of employees improved,267
conditions,Topic_Like, Physical Working Conditions,11.2972792363,5.73756596224e-12,434,334,"DPOV kitchen needs air conditioning, its one thing to say it's a kitchen and its going to be hot and I get that, but its unbelievably hot and there are days that are so miserably hot and humid I question being there, it  makes me not want to work. There are days when the water pumps to the swamp coolers go out which is every week it seems and it take days to fix, it is unbearable at times. it needs to be fixed.  if anyone doubts what I say I welcome anyone to come join us in July or Augest on a Saturday night and sit on the line for 10 minutes and I'm sure you be convinced.",There are too many issues in the kitchen that need to be resolved including the air condition problem and the proper cooling of the refrigerators. The right people need to be hired to get the job done properly.,"Air Conditioning system in our work area has been broken/under performing for a very long time.  It is very hot in Florida, I don't think this situation is healthy I know it does not contribute to productivity.  There is no air circulation",768
sit,Topic_Like, Physical Working Conditions,9.04337336245,1.96712231313e-05,235,516,More durable and smart uniforms should be provided for uniform team members  Better work ergonomic chairs should be made available for sitting team members and for those that stand eye-to computer lever tables should be provided,"Please give us a stool to sit down at the counter so we don't have to sit in the back if we want to get off our feet for a minute. The counter is so low, it's bad for everyone's back to stand and look down at the screens the way the computer is positioned.",A more attractive team member entrance. An an area with benches where you can sit and eat or read at lunch time.,751
tables,Topic_Like, Physical Working Conditions,8.92643318966,2.13233945603e-05,238,423,"the Grand Dinning Room need to improve all the tables, chairs and all the side station.",More durable and smart uniforms should be provided for uniform team members  Better work ergonomic chairs should be made available for sitting team members and for those that stand eye-to computer lever tables should be provided,we are asked to do a lot of extra work moving tables and chairs late into the night even after being here for 13 hours or more a day and are still only paid minimum wage while we are doing so I feel it would help with moral if while we were doing those extra activities for the resort we should be compensated for manual labor,661
equipment,Topic_Like, Physical Working Conditions,4.47575642965,9.11051778314e-08,1341,9816,Some broken equipment need to be change,"they need to order new equipment so that the job can be done fast ,neat and beautiful appearance","SAFE WORK EQUIPMENT. The lack of safety standards for Banquet Houseman is awful. The equipment is old and falling apart. This poses a serious threat to not only Hilton employees, but also clients/guests. New equipment is not replacing the old broken equipment. Long hours and ineffective equipment are causing a slow down on the night shift. This issue needs to be rectified.",11157
office,Topic_Like, Physical Working Conditions,4.37720409051,1.04478987032e-06,1515,413,The accessibility for team members and guests with disabilities needs to be addressed.   1. There is no ramp into the building next to the time clock.  2. The building I work in everyday (our Ballroom Space) does not have handicap door openers.  Guests in wheelchairs or team members in wheelchairs cannot get in OR out of the building without assistance.  I've addressed this to management for the last year and a half.  3. The door leading into my office has no window to see if someone is coming from the other direction and is heavy.  I'm nervous every time I try to open it that it will swing open and knock me down. I often wait at this door for someone to walk by before I can get in.,The need for better physical office space for whole sales team.,It would be a better and stronger representation of our product (and would assist in improving sales and employee morale) if our office space and offices were completely updated.,1928
room,Topic_Like, Physical Working Conditions,3.82195334928,1.62356018575e-08,2116,451,"in my department we clean rooms,and most of the time we clean 32 credits,and also we push our trolleys from villa to villla under the sun .  during rainy session we also push in the rain with no good raincoats,we also carry our linens and equipments from grond floor to upstairs since they dont provide   elevators.","I feel that as a houseman they need to hire more help. 6 floors per person is way to much, especially without having a runner. Also having no enough laundry supply puts a big strain on us, for the fact that i have to see at times up to 12 house ladies and make room service runs along with stripping rooms and at times folding towels in laundry. The 2 best solutions that will help everything is having 3-4 floors per house man since we do not have a runner. (Meaning more houseman to split up the work load. 3 houseman for 20 floors is not at all an ideal working situation.) and 2. having a lot more linen from the laundry department since my job consistently depends on them and there work efforts. more supplies to go around a lot more happy people. this will help saving time. where ladies can finish on time also save the company time and money.","too many floor to cover, I am a supervisor ,so overwhelmed .I have too much to do .I can not even take care of myself. Please help, this job is killing me .   union might help. the work condition in this company is horrible for everyone .room attendants ,housemen ,supervisors and even the managers.",2567
area,Topic_Like, Physical Working Conditions,3.50737996443,3.46976698056e-06,1706,3050,I would like to see a less rigid department configuration. Possibly lower or mixed panel heights so stations on the inner corridor can see thru to the exterior windows. I would like to see a few collaboration type areas in addition to the typical meeting rooms that allow for informal impromptu meetings. We can all benefit from better seating. These Steelcase full height paneled stations have certainly served the company well. They are ones that I designed spaces for while at MBI in the early 2000's.,cleaner back of house area more staff to do this job better more wages and new uniform,A place outside the building(Break area) for non smokers.,4756
winner,Topic_Like, Rewards and Recognition,41.7967196819,4.66295935662e-07,18,318,I think rewards and recognition needs impovements. Ive been here for nine years going on 10. Ive been nominated 9 times for the Legacy Award but have never been able to win the award. I dont have anything bad to say I will keep trying until I actually win. I just think if been nominated so many times you should be recognized for so many nominations.,Paid plane ticket to international destination for those who have won awards and/or provide above & beyond hospitality service to guests,"I suggest that as an employee recognition, that the employee's could be given Hilton Honor Points from 10,000 to 200,000 points depending on their recognition. Also Team members should be allowed to win an all expense paid trip to one of our beautiful hotels, this can be a contest in THRIVE.  COMPENSATION STILL NEEDS TO BE LOOKED AT FOR THE SALES ADMINS.",336
nominated,Topic_Like, Rewards and Recognition,29.2577037773,2.04169024088e-06,24,158,I think rewards and recognition needs impovements. Ive been here for nine years going on 10. Ive been nominated 9 times for the Legacy Award but have never been able to win the award. I dont have anything bad to say I will keep trying until I actually win. I just think if been nominated so many times you should be recognized for so many nominations.,"Sometimes hotel/company initiatives don't consistently trickle down to team members.  For example, most of us did not know about the most recent GIMI nominations/nomination deadline and we all forgot to nominate people, even though there were many deserving people.",EVERY MONTH EACH DEPARTMENT NOMINATES THEIR BEST TEAM MEMBER FOR EMPLOYEE OF THE WEEK/MONTH ETC,182
certificate,Topic_Like, Rewards and Recognition,28.6075325823,1.79941615536e-12,55,341,"When I started with the company in 2009, our Guest Assistance team was under different leadership.  This leader was generous in rewarding efforts including overtime hours and performance improvement with regard to meeting team thresholds.  Points and Smiles, Be My Guest Certificate, and AMEX gift cards were awarded on a regular basis.  It was very motivating.","I suggest the hotel spends and budgets whatever revenue that comes in towards things that are much more needed. For example, the speakers and music in the tunnel is NOT necessary or needed at all. It could be used towards things like: new uniforms that has been ripped/stained, better cafeteria food, better APPRECIATIONS towards employees (like gift certificates/cards, lunch/dinner appreciations for every outlet, etc) etc etc...","Currently, long service awards are only recognised with a certificate. I believe a gift (watch, special badge, etc.) or cash incentive, as most other corporate companies do, for long service employees will improve loyalty and team member retention.",396
rewards and recognition,Topic_Like, Rewards and Recognition,26.3092530091,1.76732818812e-29,157,9890,"I believe that in doing more rewards and recognition, Team members will be motivated. We need to recognize and reward staff that could be the asset in in the company.",rewards and recognition should mostly be also be focused well on to team members also who have been here for a long time,Each team member has a right to equal rewards and recognition when doing a good job,10047
awards,Topic_Like, Rewards and Recognition,23.4061630219,1.81915518439e-25,155,2845,I think rewards and recognition needs impovements. Ive been here for nine years going on 10. Ive been nominated 9 times for the Legacy Award but have never been able to win the award. I dont have anything bad to say I will keep trying until I actually win. I just think if been nominated so many times you should be recognized for so many nominations.,"While I recognise the importance of rewards and recognition, I feel that we have fallen into a state of excessive recognition that rewards many people for actually performing their job, rather than recognising and celebrating those who go above and beyond. The risk in this instance is that some people have high expectations and are now in a mind set that they should be entitled to regular awards and recognition when in actual fact it is part of their job description",The recognition of the team members is supposed to be in black and white format.  Try to recognize more people who deserve to be awarded.,3000
gift,Topic_Like, Rewards and Recognition,20.7396381206,8.55178590112e-14,92,422,"can we have variety of choices for the reward in long service... instead of red balloon, some other gift cards such as coles, etc.","When I started with the company in 2009, our Guest Assistance team was under different leadership.  This leader was generous in rewarding efforts including overtime hours and performance improvement with regard to meeting team thresholds.  Points and Smiles, Be My Guest Certificate, and AMEX gift cards were awarded on a regular basis.  It was very motivating.","I suggest the hotel spends and budgets whatever revenue that comes in towards things that are much more needed. For example, the speakers and music in the tunnel is NOT necessary or needed at all. It could be used towards things like: new uniforms that has been ripped/stained, better cafeteria food, better APPRECIATIONS towards employees (like gift certificates/cards, lunch/dinner appreciations for every outlet, etc) etc etc...",514
rewards,Topic_Like, Rewards and Recognition,16.6197607256,7.17942029712e-76,912,2343,rewards and recognition for deserving employee,"Recognition and Rewards should be quaterly- Vouchers can be given as a gesture of appreciation  Long Service: the company should go extra miles to offer complimentary stay in a luxury brand hotel, instead of just a certificate and a badge",meaningful rewards and recognition to right deserving people,3255
recognition,Topic_Like, Rewards and Recognition,13.6280425164,9.26369983669e-58,910,1751,"While I recognise the importance of rewards and recognition, I feel that we have fallen into a state of excessive recognition that rewards many people for actually performing their job, rather than recognising and celebrating those who go above and beyond. The risk in this instance is that some people have high expectations and are now in a mind set that they should be entitled to regular awards and recognition when in actual fact it is part of their job description",I think rewards and recognition needs impovements. Ive been here for nine years going on 10. Ive been nominated 9 times for the Legacy Award but have never been able to win the award. I dont have anything bad to say I will keep trying until I actually win. I just think if been nominated so many times you should be recognized for so many nominations.,"Recognition and Rewards should be quaterly- Vouchers can be given as a gesture of appreciation  Long Service: the company should go extra miles to offer complimentary stay in a luxury brand hotel, instead of just a certificate and a badge",2661
CTE,Topic_Like, Rewards and Recognition,13.003423901,2.41188336034e-06,69,0,It's very difficult for someone in my role to earn CTE or other types of recognition.,Hard to obtain CTE quarterly.  What about a monthly recognition program?,The CTE award is a great tool but the VOC & FCR scores do not be accurate. Since they have came out with those to me they are always wrong. If a guest select the wrong number in the VOC it can mess up your whole percentage. I just do not think that your whole award should be based on the VOC & FCR scores. Sometimes people choose not to do the VOC & FCR and if they do then your percentage is low so you are not eligible for CTE. The award program need to be revisited and I think the supervisor should have more say so in that award. The scores are not accurate nor trustworthy. It is always something wrong with them and then they came out in the middle of the 2nd quarter and those numbers where still used to base if you get CTE or not. The award program is definitely something that needs work on because I work hard the whole quarter thinking I am going to make it and don't. It is really discouraging more than encouraging.,69
vouchers,Topic_Like, Rewards and Recognition,12.5390159046,1.54175337251e-05,61,331,"Recognition and Rewards should be quaterly- Vouchers can be given as a gesture of appreciation  Long Service: the company should go extra miles to offer complimentary stay in a luxury brand hotel, instead of just a certificate and a badge","can we have variety of choices for the reward in long service... instead of red balloon, some other gift cards such as coles, etc.",I think that maybe the Hilton could bring back the rewards program we had before the red balloon vouchers when we had a gift voucher to shops like Myer and David Jones where you could buy a lot of different items  job security is a on going when the hotel is cutting down on staff,392
staff welfare,Topic_Like, Rewards and Recognition,10.9716389165,3.37422992293e-07,104,264,staff welfare,the entire hotel management should improve on staff welfare and increment in salary.,Recognition and reward should be for all staff     improve on staff welfare,368
recognized,Topic_Like, Rewards and Recognition,10.7087020361,1.49970877126e-44,834,1132,"While I recognise the importance of rewards and recognition, I feel that we have fallen into a state of excessive recognition that rewards many people for actually performing their job, rather than recognising and celebrating those who go above and beyond. The risk in this instance is that some people have high expectations and are now in a mind set that they should be entitled to regular awards and recognition when in actual fact it is part of their job description",I think rewards and recognition needs impovements. Ive been here for nine years going on 10. Ive been nominated 9 times for the Legacy Award but have never been able to win the award. I dont have anything bad to say I will keep trying until I actually win. I just think if been nominated so many times you should be recognized for so many nominations.,The recognition of the team members is supposed to be in black and white format.  Try to recognize more people who deserve to be awarded.,1966
card,Topic_Like, Rewards and Recognition,9.00237039303,3.03163956631e-08,222,183,"can we have variety of choices for the reward in long service... instead of red balloon, some other gift cards such as coles, etc.","I suggest the hotel spends and budgets whatever revenue that comes in towards things that are much more needed. For example, the speakers and music in the tunnel is NOT necessary or needed at all. It could be used towards things like: new uniforms that has been ripped/stained, better cafeteria food, better APPRECIATIONS towards employees (like gift certificates/cards, lunch/dinner appreciations for every outlet, etc) etc etc...","When I started with the company in 2009, our Guest Assistance team was under different leadership.  This leader was generous in rewarding efforts including overtime hours and performance improvement with regard to meeting team thresholds.  Points and Smiles, Be My Guest Certificate, and AMEX gift cards were awarded on a regular basis.  It was very motivating.",405
win,Topic_Like, Rewards and Recognition,8.27490611884,3.75388419641e-05,105,233,"I suggest that as an employee recognition, that the employee's could be given Hilton Honor Points from 10,000 to 200,000 points depending on their recognition. Also Team members should be allowed to win an all expense paid trip to one of our beautiful hotels, this can be a contest in THRIVE.  COMPENSATION STILL NEEDS TO BE LOOKED AT FOR THE SALES ADMINS.","I would love it if we didn't have to offer hgv or at least lower the percentage.  Yes, it's great that we can get addl income but once I have won guests trust with me after not being onsite at the location it's hard having to make a sales pitch especially after the new res 2.0.  I feel there's way too many items to cover on the res 2.0 it should be tailored to the guest that is calling in.  There's way too many meetings going over the new model and it doesn't reflect our rate of pay.      On every call I ask our guests if they are a hhonors member.  When searching I put in their info if they aren't sure and if it pulls nothing I have to get out of that screen and in to the gnr panel on the who screen and everything drops off.  It would be great if that info that we typed in would transfer to that screen.  It can be frustrating for guests to have to give that info again especially if they are in a hurry.      Also, in regards to bas guidelines.  It would be great if we can edit our schedule before the build ends.  Several times I have found out a change and it's after I have already hit submit but the build hasn't closed yet.  It also would be nice for us pm builds to get at least 2-3 hours available in the morning.  The evening shift my numbers are always low because of shoppers or no rooms available so I have to pick up shifts to try to increase my numbers and it would be nice if I had that option in bas to get credit for those hours vs having to pick up.    In regards to dc's I've had several.  I would of loved to stay on my last team but they moved quite a few of us to a new d.c.  Before we would always have contests and the opportunities to get quite a few points and smiles.  With the new d.c. not so much and I feel like everything is focused on the res 2.0 model with several meetings on what to improve on and extra items to say on a call.  Definitely not the same like before.  Would be great to have more flexibility on calls and not have to do the 2.0 model.",I think rewards and recognition needs impovements. Ive been here for nine years going on 10. Ive been nominated 9 times for the Legacy Award but have never been able to win the award. I dont have anything bad to say I will keep trying until I actually win. I just think if been nominated so many times you should be recognized for so many nominations.,338
deserve,Topic_Like, Rewards and Recognition,6.1595165847,1.94173050305e-07,279,1134,"that rewards not be given to wrong team members,there must be no favouratisim when it comes to rewarding team members of their hard work because that discourages the ones deserving the rewards.",rewards and recognition for deserving employee,meaningful rewards and recognition to right deserving people,1413
hard work,Topic_Like, Rewards and Recognition,5.35855380537,7.14788897429e-11,579,660,"they give people rewards and Recognition to people who don't deserve it, the hard working  people gets unnoticed. there is a lot of preferential treatment in many of the departments, I see people working in the kitchen that work harder then others. and other departments as well.","We were advised of a new enhanced program for Certificate of Excellence but have not been given any information regarding the implantation. When you work hard to excel and exceed expectations, it would be nice to get the best recognition Hilton has to offer. To accomplish this for all for quarters is exceptional. Hard work enables some to achieve this goal and this should be recognized. Just wish there were additional updates regarding the implementation of this new enhanced program.      When building a work schedule, there are glitches that slow down the system and hours are taken because of slow response. Hopefully this will be remedied soon since we will be able to use smart phones ipads etc. instead of being tied down to a pc. The fear is you won't get a schedule because the program isn't working probably. Hope the glitches are gone before actual implemtation.",Managers sometimes ignore the performance of our work not recognizing the person after the hard work,1239
incentives,Topic_Like, Rewards and Recognition,5.07826022171,2.37722891406e-09,528,1865,"Since iEarn has been introduced, I haven't earned much.  HGV and EHI stats:  the more calls taken, the less percentage points received hence resulting in less incentive payout.  The agents taking less calls are earning higher payouts!  Not a fair system.",I think we could awards those more who work there days off.Maybe a bit of a bonus as an incentive.,rewards for different incentives that takes place within the company. Making employees that does an outstanding job to receive rewards that would provide them with more opportunity to grow.,2393
promotion,Topic_Like, Rewards and Recognition,4.9189834722,8.50068878568e-10,594,846,communication skills and recognition in those who push above and beyound  ie raises and promotions.as well as open door for those who wann explore more and learn more to better them self in all areas.,"Leaders/supervisors need to be more cognizant of what can appear to be favoritism. When one team in CRM all gets promoted and when the manager of that team is promoted two levels while others have been trying for promotions for a long time, it can be demoralizing.  Also, when that same team gets to continually add staff and doesn't appear overworked (do not appear to work long hours as others do and works from home a lot) while other teams are constantly overworked and do not get to add staff, people can't help but think there is the ""in"" crowd vs. the ""out"" crowd.  This team is also not transparent so no one really knows what they do or what their roadmap is.  This team tends to stick to themselves -- socializes and hangs out only with their team.  This does not promote overall teamwork and trust.","Better Health Care, medical insurance health card is the number one most important for me. The current medical card we have, team member does not allow us to visit wide range of clinics, pharmacies and hospitals. Often time, we were treated poorly in the medical centers we were visiting as our medical card is like a 'laborer's card' lowest category. Hence, long waiting time to be treated and have to be mixed with the laborers.  The Medical Card before was Metlife and this is very good enough when they changed to Orient (this medical benefits is far low beyond any 5 star hotels in Dubai being provided to employees).  The Hotel does not provide Hotel Doctors too.  When we get sick, not even a simple medicines, prescription can be obtained from the Clinic. We were unable to fully used our Sick Leave Certificate because the clinics and only 3 hospitals available is very far to visit plus we need to pay transportation, sick leave certificates too and consultation. Hotel transportation - scheduling is poorly managed. Bus schedules have long gaps and end up waiting 1 hour the most. Not enough bus and seats. Due to very limited seats and huge volume of staff, to be able to go home staff need to wait at least 1 hour - 1 hour and half (this time is wasted daily). Bus drivers are crazily and a few of them are recklessly driving too. Again, back to not being safe even taking the hotel provided shuttle bus and cannot trust our medical insurance to cover in case of accidents and forbid death for staff. Plus staff accommodation where there are lots of prohibitions like to freely entertain visitors, family staying for over a few days or weeks.  Staff Promotion: Not able to get the right salary even for promotions, no chance of getting promoted too as candidates were being sourced from outside the company. NO staff retention.  Staff feels very insecure about their job security as any time can be fired and not clear because it is not based on job performance.",1440
bonus,Topic_Like, Rewards and Recognition,3.90102717031,8.43885881146e-06,495,1913,It would be nice to have the incentive of a yearly raise or something,I think we could awards those more who work there days off.Maybe a bit of a bonus as an incentive.,yearly bonus not just for HOD but for senior supervisors.,2408
performance,Topic_Like, Rewards and Recognition,3.58416610854,4.46779255148e-07,921,754,We have no performance reviews done annually; this would be a good measure of establishing who the key performers are in the organization; other competitive hotel companies do have performance appraisals done annually.,"I think it should be done differently base on performance, attendance, etc.",Better compensation based on performance and job grade. Not standardised in AI&O.,1675
Vegas,Topic_Like, Safety,70.3779761905,2.14323853037e-05,12,102,"I strongly believe that we can & should expand our security personnel, in light of what occurred in the Las Vegas massacre, it would greatly improve on how we can ensure the safety of our guest and staff. There's a lot of security breaches in this property that need to be taken seriously, for example, the loading dock should have 24 hour coverage and at the very least two people covering during the week, there's a lot of traffic as far as vendors, tenants, deliveries, too much activity for one person. And at times it can be overwhelming, dealing with vagrants, guest & team member issues, if we had at least five men per shift that's including a swing shift & a second person at the loading dock, it would make a big difference.",In the wake of the resent Las Vegas hotel shootings we can not take safety for granted by not having at least a part-time security presence on the weekends when most hotel and guest incidents happen. The safety of our guest and our team members should continue to be one of our top priorities.,I am concerned that with todays reality we are not prepared for an event like in Vegas. We are the biggest Hotel in NYC with many exit's and entrances and our security Dept. is understaff to handle an emergency like at the Vegas Hotel. I only hope that I am wrong and that we can come to work and all go home safely.,114
gate,Topic_Like, Safety,55.8555366591,8.65842621751e-08,25,50,Security cabin  in Resiving gate,GATES AND MORE SECURITY,Prioritized places that can be dangerous.  The lift by receiving area is not very safe need to be gated while being operated.,75
safety,Topic_Like, Safety,32.503884586,5.12627662049e-50,377,970,"We need better parking arrangements. Its a safety hazard to have cars parking in the 'drive' area of the parking garage. The lights are constantly going out and they should be fully replaced, not just the bulbs. Our Employee garage needs to have security cameras, in the stair wells and the main exits for those of us working night shifts or even during the day. I recommend looking into how FAU runs their parking. They can issue tickets, $10-$25, which I think is reasonably fair for someone who cannot follow the rules as other employees would. We need double decals, employees have the one in the front of their car, but we need one in the back. This way our security officers may know who is supposed to be in the garage for that day. On days of self parking and we do not have to park at Bible Town, we need a 24 hour notice that there would be self parking. Every shift  I arrive with 30- 45 min to spare before work just to make sure I have parking, since I never know when a group will be self parking. If we receive notice to park off property the same should be applied when we share our garage with groups. I also believe we need a parking meter, while Guests and members use the parking garage when permitted, there are multiple occasions when someone should not be parking in the garage and  does taking away parking for us employees. Or Per-haps there should be an area for metered parking, to help cut down on random parking. I would also suggest work  ID's. There are so many guests, or convention guests, who I have seen sneak into the employee cafeteria, we should be like a working like a high school. You are issued a work ID, and you fill this ID with money  and you swipe this card instead of your credit card. This would also cut back on random visitors walking around property, you must show you ID badge at Security- which needs to crack down on this- or be issued one for the day. I believe these suggests would greatly help run our resort, behind the scenes.",the only imrovements i can suggest is the safety of the guests..meaning to have 24hr security personel.,On Safety & Security aspect,1347
guard,Topic_Like, Safety,31.2791005291,1.38528618884e-05,33,1408,"We dont need much improvement in our team, except the uniform, if we can change this security guard uniform, because many guest in our hotel think that we are contract security guards and wont ask us if the need help.",employee menue should have more items and we should have a least one security guard,"Security guards during the night shifts at the front desk, but also checking IDs when making new room keys.",1441
entrance,Topic_Like, Safety,30.5991200828,1.04719631561e-07,51,1006,Team member entrance (door) should have a buzz button on it and should lock after certain (HOURS) for our safety.,"When it comes to safety  of team members, property and guests; this hotel could improve by adding more alarms on doors and replacing old non- working alarms with new ones(expectually on doors that lead to the streets from anywhere inside the building). We can also add more cameras in blind spot areas in the hotel, such as, inside elevators, in guest hallways and inside stairwells. Hiring the right personnel to secure the building is vital along with an acceptable amount of security officers per shift, hiring people just to have a body in place does not work it only leads to high turnovers and mistrust of the department, that we are incapable of handling situations when they arise. I think the security department need improvement with  training of staff on current events at home and abroad and it need to be done on a regular basis.",I am concerned that with todays reality we are not prepared for an event like in Vegas. We are the biggest Hotel in NYC with many exit's and entrances and our security Dept. is understaff to handle an emergency like at the Vegas Hotel. I only hope that I am wrong and that we can come to work and all go home safely.,1057
cameras,Topic_Like, Safety,29.324156746,1.31874762825e-07,53,11,cameras,for security reason there should be cameras on every floor.,more security cameras.,64
security,Topic_Like, Safety,23.9693107315,2.01904327449e-45,1006,370,"We need more support with the Bell/Valet staff, instead of depending so much on the Security Department. It is very important for the Security staff to constantly view the CCTV's to keep an eye on the property, have the freedom to do frequent exterior and interior patrols, and to make ourselves visible for the Guests so that they feels safe knowing that we have a Security staff. I think that Security and Safety should be taken more seriously at this property.","We need to improve on security. The safety and security of team members, Guests and all stakeholders are of paramount importance, hence two (2) security personnel per shift are not adequate in providing tight security coverage in emergency situations, as the need for emergency preparedness cannot be over-emphasized. Hence, three (3) officers per shift will be more ideal in this regard.","When it comes to safety  of team members, property and guests; this hotel could improve by adding more alarms on doors and replacing old non- working alarms with new ones(expectually on doors that lead to the streets from anywhere inside the building). We can also add more cameras in blind spot areas in the hotel, such as, inside elevators, in guest hallways and inside stairwells. Hiring the right personnel to secure the building is vital along with an acceptable amount of security officers per shift, hiring people just to have a body in place does not work it only leads to high turnovers and mistrust of the department, that we are incapable of handling situations when they arise. I think the security department need improvement with  training of staff on current events at home and abroad and it need to be done on a regular basis.",1376
dangerous,Topic_Like, Safety,22.3422146636,4.67865551846e-05,45,67,People need more instruction on safety hazards and OSHA regulations.  I constantly see violations that are truly dangerous; i.e. pallets placed on their side in the middle of the floor.,the polished linoleum tile floors are way too slippery when wet - very dangerous!,Prioritized places that can be dangerous.  The lift by receiving area is not very safe need to be gated while being operated.,112
door,Topic_Like, Safety,10.7330246914,6.8794636577e-06,237,1785,"When it comes to safety  of team members, property and guests; this hotel could improve by adding more alarms on doors and replacing old non- working alarms with new ones(expectually on doors that lead to the streets from anywhere inside the building). We can also add more cameras in blind spot areas in the hotel, such as, inside elevators, in guest hallways and inside stairwells. Hiring the right personnel to secure the building is vital along with an acceptable amount of security officers per shift, hiring people just to have a body in place does not work it only leads to high turnovers and mistrust of the department, that we are incapable of handling situations when they arise. I think the security department need improvement with  training of staff on current events at home and abroad and it need to be done on a regular basis.","THE RESTAURANTS ARE UNSAFE. PLUMBING WATER AND SEWER)BACKING UP IN THE HEAVY USED AREAS. BROKEN AND CHIPPED FLOORING,METAL HANGING OFF DOORS,MACHINES NOT WORKING AND OVERFLOWING WITH HOT WATER..AIR CONDTIONING NOT WORKING,DRIPPING WATER ON FLOORS. SUGGEST GETTING THINGS FIXED.",Team member entrance (door) should have a buzz button on it and should lock after certain (HOURS) for our safety.,2022
safe,Topic_Like, Safety,10.4876984127,2.30801573917e-13,443,7472,More frequent replacements or additions or back hall cleanup tools. They wear out easily and quickly.in this work environment. They are so important to keep everyone safe.,The property is safe place to work. It would be nice to have security throughout the week.,The Hotel is a safe place to work at. no improvements needed the security manager is on the ball when it comes to safety.,7915
floor,Topic_Like, Safety,7.36942159063,2.13189037167e-07,393,2725,"THE RESTAURANTS ARE UNSAFE. PLUMBING WATER AND SEWER)BACKING UP IN THE HEAVY USED AREAS. BROKEN AND CHIPPED FLOORING,METAL HANGING OFF DOORS,MACHINES NOT WORKING AND OVERFLOWING WITH HOT WATER..AIR CONDTIONING NOT WORKING,DRIPPING WATER ON FLOORS. SUGGEST GETTING THINGS FIXED.","When it comes to safety  of team members, property and guests; this hotel could improve by adding more alarms on doors and replacing old non- working alarms with new ones(expectually on doors that lead to the streets from anywhere inside the building). We can also add more cameras in blind spot areas in the hotel, such as, inside elevators, in guest hallways and inside stairwells. Hiring the right personnel to secure the building is vital along with an acceptable amount of security officers per shift, hiring people just to have a body in place does not work it only leads to high turnovers and mistrust of the department, that we are incapable of handling situations when they arise. I think the security department need improvement with  training of staff on current events at home and abroad and it need to be done on a regular basis.","Fire exit doors do not have fire exit sticker on the doors itself, only the green lighted sign with arrow, I recommend stickers as if there will be fire panic  one surely don't recognize which emergency door to take as they look like the guests room doors.",3118
DHs,Topic_Like, Senior Leadership,24.2593316195,3.88592057437e-05,28,745,"Thank you all are ok and My GM, DO, training manager, DHs and all my friends, location, religious place; all everything","Great place to work and thanks to My GM, DO, training manager, DHs and all my friends,","No, thanks to My GM, DO, training manager, DHs and all my friends,",773
